		hero_info	hero_grow	hero_species	species_desc	hero_skill	hero_equips	equip_info
仙女龙
巫妖		1		1		1		1		1		1		1
双头龙		1		1		1		1		1		1		1
光法		1		1		1		1		1		1		1
术士		1		1		1		1		1		1		1
蓝胖		1		1		1		1		1		1		1
召唤师		1		1		1		1		1		1		1
巫医		1		1		1		1		1		1		1
小鹿		1		1		1		1		1		1		1
老鹿		1		1		1		1		1		1		1
风暴之灵		1		1		1		1		1		1		1
冰魂		1		1		1		1		1		1		1
炸弹人		1		1		1		1		1		1		1
暗牧		1		1		1		1		1		1		1
黑鸟		1		1		1		1		1		1		1
死灵法师		1		1		1		1		1		1		1
修补匠		1		1		1		1		1		1		1
深渊恶魔		1		1		1		1		1		1		1
吟游诗人		1		1		1		1		1		1		1
爱丽丝		1		1		1		1		1		1		1
干扰者		1		1		1		1		1		1		1
圣灵骑士		1		1		1		1		1		1		1
天照		1		1		1		1		1		1		1
魔术师		1		1		1		1		1		1		1
双子		1		1		1		1		1		1		1
月亮女神		1		1		1		1		1		1		1
魔蛇之女		1		1		1		1		1		1		1
死灵龙		1		1		1		1		1		1		1
厨娘		1		1		1		1		1		1		1
宙斯		1		1		1		1		1		1		1
蝙蝠骑士		1		1		1		1		1		1		1
火女		1		1		1		1		1		1		1
迪迦		1		1		1		1		1		1		1
恶魔巫师		1		1		1		1		1		1		1
猫馆长		1		1		1		1		1		1		1
天师道人		1		1		1		1		1		1		1
骨弓		1		1		1		1		1		1		1
剑圣		1		1		1		1		1		1		1
月骑		1		1		1		1		1		1		1
小黑		1		1		1		1		1		1		1
灵魂守卫		1		1		1		1		1		1		1
白虎		1		1		1		1		1		1		1
猴子		1		1		1		1		1		1		1
巨魔		1		1		1		1		1		1		1
敌法		1		1		1		1		1		1		1
复仇		1		1		1		1		1		1		1
机枪兵		1		1		1		1		1		1		1
圣堂刺客		1		1		1		1		1		1		1
直升机		1		1		1		1		1		1		1
拍拍熊		1		1		1		1		1		1		1
亚龙		1		1		1		1		1		1		1
灰烬之灵		1		1		1		1		1		1		1
小强		1		1		1		1		1		1		1
隐刺		1		1		1		1		1		1		1
铁面狂人		1		1		1		1		1		1		1
剧毒		1		1		1		1		1		1		1
白银刺客		1		1		1		1		1		1		1
水人		1		1		1		1		1		1		1
小鱼人		1		1		1		1		1		1		1
艾吉奥		1		1		1		1		1		1		1
小娜迦		1		1		1		1		1		1		1
火枪		1		1		1		1		1		1		1
血魔		1		1		1		1		1		1		1
云游武僧		1		1		1		1		1		1		1
影魔		1		1		1		1		1		1		1
幻影刺客		1		1		1		1		1		1		1
武器大师		1		1		1		1		1		1		1
赏金猎人		1		1		1		1		1		1		1
虚空		1		1		1		1		1		1		1
编织者		1		1		1		1		1		1		1
美杜莎		1		1		1		1		1		1		1
猎魔人		1		1		1		1		1		1		1
幽鬼		1		1		1		1		1		1		1
全能骑士		1		1		1		1		1		1		1
骨王		1		1		1		1		1		1		1
神牛		1		1		1		1		1		1		1
发条		1		1		1		1		1		1		1
炼金术士		1		1		1		1		1		1		1
混沌骑士		1		1		1		1		1		1		1
斧王		1		1		1		1		1		1		1
狂猎		1		1		1		1		1		1		1
牛头酋长		1		1		1		1		1		1		1
潮汐		1		1		1		1		1		1		1
龙女		1		1		1		1		1		1		1
大鱼人		1		1		1		1		1		1		1
伐木机		1		1		1		1		1		1		1
尸王		1		1		1		1		1		1		1
船长		1		1		1		1		1		1		1
酒仙		1		1		1		1		1		1		1
海民		1		1		1		1		1		1		1
刚背猪		1		1		1		1		1		1		1
狼人		1		1		1		1		1		1		1
电魂		1		1		1		1		1		1		1
痛苦女王		1		1		1		1		1		1		1		
沙王		1		1		1		1		1		1		1	
兽王		1		1		1		1		1		1		1	
流浪剑客		1		1		1		1		1		1		1
军团指挥		1		1		1		1		1		1		1
龙骑士		1		1		1		1		1		1		1
末日使者		1		1		1		1		1		1		1
树精卫士		1		1		1		1		1		1		1
屠芙		1		1		1		1		1		1		1
神灵武士		1		1		1		1		1		1		1
暗夜魔王		1		1		1		1		1		1		1
大地之灵		1		1		1		1		1		1		1
小小		1		1		1		1		1		1		1
魔像		1		1		1		1		1		1		1
小精灵		1		1		1		1		1		1		1
巨剑骑士		1		1		1		1		1		1		1
奥丁之子		1		1		1		1		1		1		1
黑暗骑士		1		1		1		1		1		1		1
白牛		1		1		1		1		1		1		1
凤凰		1		1		1		1		1		1		1
人马		1		1		1		1		1		1		1


missing:
赌徒,谜团，月读,食魂鬼
